Field,Value
energy_consumption_design,5098956.571316753
energy_consumption_standard,19810334.176744185
energy_consumption_design_other,11323956.571316753
energy_consumption_standard_other,26035334.176744185
bei,0.26
energy_consumption_design_renewable_other,5239272.278908086
bei_renewable,0.27
energy_consumption_design_ac,5952516.012752056
energy_consumption_standard_ac,13250000.0
bei_ac,0.45
energy_consumption_design_ventilation,0.0
energy_consumption_standard_ventilation,0.0
bei_ventilation,0
energy_consumption_design_lighting,48924.92800000001
energy_consumption_standard_lighting,6225000.0
bei_lighting,0.01
energy_consumption_design_hot_water,230730.62684529065
energy_consumption_standard_hot_water,250000.0
bei_hot_water,0
energy_consumption_design_elevator,85334.17674418604
energy_consumption_standard_elevator,85334.17674418604
bei_elevator,1.0
other_energy_consumption,6225000.0
renewable_energy_photovoltaic,140315.70759133346
renewable_energy_cogeneration,1078233.465433448
